GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,IsGameOver,TeamName,DayOfWeek,PassingDropbacks,OpponentPassingDropbacks,TeamGameID,TwoPointConversionReturns,OpponentTwoPointConversionReturns,TeamID,OpponentID,Day,DateTime,GlobalGameID,GlobalTeamID,GlobalOpponentID,ScoreID
201610101,2016-09-11T20:30:00,1,2016,1,ARI,NE,HOME,21,23,44,University of Phoenix Stadium,Dome,77,55,0,48.4,-10.4,0,7,7,7,0,29,1,26:1,23,7,15,1,65,378,7.0,4,21,101,5.8,1,41,26,277,2,0,8.2,11.6,71.4,112.8,13,7,55.0,0,0,0.0,4,4,4,4,7,7,64,1,0,4,21,5,7,0,6,198,39.6,0,2,2,10,0,7,6,0,36,65,33:59,21,8,12,1,73,399,6.7,2,34,117,4.1,1,36,26,283,1,0,9.4,11.8,80.0,115.8,18,11,68.8,0,0,0.0,2,1,1,1,18,10,76,4,2,2,8,6,7,0,2,98,49.0,2,0,-2,110.0,110.0,-1,0,-1,21.3,12.5,7.5,55.0,110.0,1,0,1,34.8,13.8,6.9,5,5,4,0,35.6,4,4,0,0,0,0,0,1,0,0,1,10,5,67,0,0,7,5,2,0,44.6,2,2,0,0,0,0,0,4,4,0,2,20,1,29,0,0,55,11,2,8,1,2,2,-2,0,0,0,0,10,0,23,0,0,0,0,178,41,11,4,21,7,0,0,-2,0,0,0,0,11,0,29,0,0,0,0,89,True,Cardinals,Sunday,44,38,427149,0,0,1,21,2016-09-11T00:00:00,2016-09-11T20:30:00,15984,1,21,15984
201610102,2016-09-11T13:00:00,1,2016,1,ATL,TB,HOME,24,31,55,Georgia Dome,Dome,77,55,0,51.7,-2.8,10,3,8,3,0,35,25,32:23,21,2,18,1,70,411,7.0,2,24,57,2.9,0,43,30,354,2,0,10.0,13.1,76.1,122.4,14,4,25.4,2,1,55.0,5,1,2,1,34,8,81,0,0,4,13,7,2,0,6,212,42.5,0,1,1,3,14,14,0,0,30,41,27:37,22,6,13,4,66,408,7.5,5,31,99,3.9,0,35,25,309,5,1,10.6,13.4,79.1,137.6,11,4,36.6,0,0,0.0,2,1,1,1,0,7,53,0,0,0,0,5,10,0,6,272,54.3,1,0,-1,27.5,55.0,2,-7,-3,8.6,20.7,7.1,55.0,110.0,-2,7,4,40.0,10.4,0.0,7,6,6,0,42.5,1,1,0,1,1,0,0,4,4,0,2,24,4,94,1,11,7,7,4,0,49.5,5,5,0,0,0,0,0,1,1,0,0,0,1,13,0,0,43,15,0,0,6,0,0,0,0,0,0,0,14,0,37,0,0,0,0,212,50,11,4,13,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,248,True,Falcons,Sunday,46,35,427133,0,0,2,33,2016-09-11T00:00:00,2016-09-11T13:00:00,15976,2,33,15976
201610103,2016-09-11T13:00:00,1,2016,1,BAL,BUF,HOME,13,7,20,M&T Bank Stadium,Artificial,92,48,10,49.0,-3.3,3,7,0,3,0,35,58,32:53,20,5,12,4,72,339,5.7,1,31,91,3.6,0,36,24,248,1,0,8.2,11.2,73.4,105.8,16,7,44.0,1,0,0.0,1,0,0,0,-1,7,38,1,1,5,36,7,10,0,4,141,47.0,1,0,-1,0,7,0,0,0,30,8,27:7,12,6,6,1,53,176,4.0,1,26,72,3.3,1,24,16,104,0,0,5.2,7.6,75.0,84.6,14,4,25.4,2,2,110.0,1,1,1,1,23,10,98,0,0,2,18,11,7,0,8,344,49.2,0,1,1,0.0,0.0,-3,2,-2,36.6,27.5,10.8,110.0,110.0,4,-2,2,23.5,26.7,10.0,5,4,4,0,39.3,1,1,0,0,0,0,0,2,2,0,2,1,2,41,0,0,2,2,0,0,45.9,1,1,0,0,0,0,0,1,0,0,1,23,1,14,0,0,36,7,2,18,2,0,0,-2,0,0,0,0,10,0,25,0,0,0,0,118,42,22,5,36,4,0,1,0,0,0,0,0,23,0,14,0,0,0,0,321,True,Ravens,Sunday,41,26,427127,0,0,3,4,2016-09-11T00:00:00,2016-09-11T13:00:00,15973,3,4,15973
201610103,2016-09-11T13:00:00,1,2016,1,BUF,BAL,AWAY,7,13,20,M&T Bank Stadium,Artificial,92,48,10,49.0,3.6,0,7,0,0,0,30,8,27:7,12,6,6,1,53,176,4.0,1,26,72,3.3,1,24,16,104,0,0,5.2,7.6,75.0,84.6,14,4,25.4,2,2,110.0,1,1,1,1,23,10,98,0,0,2,18,11,7,0,8,344,49.2,0,1,1,3,7,0,3,0,35,58,32:53,20,5,12,4,72,339,5.7,1,31,91,3.6,0,36,24,248,1,0,8.2,11.2,73.4,105.8,16,7,44.0,1,0,0.0,1,0,0,0,-1,7,38,1,1,5,36,7,10,0,4,141,47.0,1,0,-1,110.0,110.0,4,-2,2,23.5,26.7,8.3,0.0,0.0,-3,2,-2,36.6,27.5,11.9,2,2,0,0,45.9,1,1,0,0,0,0,0,1,0,0,1,23,1,14,0,0,5,4,4,0,39.3,1,1,0,0,0,0,0,2,2,0,2,1,2,41,0,0,42,22,5,36,4,0,1,0,0,0,0,0,23,0,14,0,0,0,0,321,36,7,2,18,2,0,0,-2,0,0,0,0,10,0,25,0,0,0,0,118,True,Bills,Sunday,26,41,427126,0,0,4,3,2016-09-11T00:00:00,2016-09-11T13:00:00,15973,4,3,15973
201610110,2016-09-08T20:30:00,1,2016,1,CAR,DEN,AWAY,20,21,41,Sports Authority Field at Mile High,Grass,94,13,11,44.6,-3.3,7,10,0,3,0,35,21,32:19,23,10,13,1,75,366,5.9,2,35,173,5.9,1,36,20,194,1,1,6.4,10.8,60.0,74.0,16,11,66.0,0,0,0.0,4,2,1,1,19,10,94,0,0,4,20,4,6,0,5,277,69.3,1,4,2,0,7,0,14,0,30,45,27:41,23,11,12,1,63,338,6.5,4,32,163,6.2,2,29,20,175,1,2,7.4,10.6,76.1,72.6,11,6,55.0,1,1,110.0,2,1,1,1,29,5,24,1,1,2,21,10,2,0,4,154,51.4,4,1,-2,73.4,110.0,-6,4,-1,18.9,11.8,8.3,55.0,110.0,6,-3,1,7.5,24.4,8.6,6,6,6,0,51.2,2,2,0,0,0,0,0,4,2,0,2,13,1,11,2,6,5,4,4,0,47.0,4,4,0,0,0,0,0,0,0,0,2,29,5,0,1,0,45,2,2,21,7,1,1,0,0,0,0,0,10,0,11,0,0,0,0,205,50,5,4,20,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,141,True,Panthers,Thursday,40,31,427114,0,0,5,10,2016-09-08T00:00:00,2016-09-08T20:30:00,15971,5,10,15971
201610113,2016-09-11T13:00:00,1,2016,1,CHI,HOU,AWAY,14,23,37,Reliant Stadium,Dome,92,67,4,46.8,6.7,7,7,0,0,0,25,45,23:41,15,4,11,1,59,284,5.8,2,22,80,4.4,1,32,18,204,1,1,7.7,12.8,60.7,78.9,14,5,33.9,2,0,0.0,2,2,1,1,47,5,33,2,0,6,34,10,4,0,8,326,46.5,1,1,0,0,10,3,10,0,40,21,36:19,19,6,13,0,79,378,5.8,2,38,142,4.5,0,38,24,236,2,1,7.4,10.8,69.2,95.9,22,13,66.0,0,0,0.0,4,1,2,0,45,7,76,1,0,2,18,13,10,0,6,267,53.5,1,1,0,110.0,110.0,-4,-6,-3,10.4,23.8,14.7,36.6,0.0,5,6,4,44.0,38.8,6.5,4,2,0,0,41.9,2,2,0,0,0,0,0,0,0,0,5,44,6,113,1,4,7,4,1,0,44.7,2,2,0,0,0,0,0,4,4,0,4,32,4,80,1,13,52,30,2,18,5,1,0,0,0,0,0,0,34,0,29,0,0,0,0,294,40,14,6,34,5,1,0,0,0,0,0,0,14,0,31,0,0,0,0,223,True,Bears,Sunday,37,41,427128,0,0,6,13,2016-09-11T00:00:00,2016-09-11T13:00:00,15974,6,13,15974
201610124,2016-09-11T13:00:00,1,2016,1,CIN,NYJ,AWAY,23,22,45,MetLife Stadium,Artificial,87,44,19,46.2,-1.1,3,10,7,3,0,28,8,25:7,20,6,12,2,62,419,8.2,2,21,63,3.6,1,33,25,356,1,1,11.9,15.5,84.4,119.0,12,4,30.0,0,0,0.0,4,1,1,0,23,6,48,0,0,8,46,4,7,0,4,158,52.8,1,1,0,7,9,0,6,0,37,58,34:53,24,10,12,4,73,374,6.3,2,33,167,6.2,0,38,21,207,2,1,6.5,10.9,59.7,84.5,13,5,36.6,0,0,0.0,6,2,4,1,25,8,104,1,0,1,1,11,11,0,4,169,56.4,1,1,0,36.6,0.0,-8,-3,-7,22.0,10.0,18.9,44.0,36.6,8,4,7,52.1,29.7,3.4,6,6,2,0,48.7,2,2,0,0,0,0,0,5,4,0,2,23,4,55,1,0,7,6,4,0,48.7,2,1,0,0,0,0,0,5,4,1,2,12,4,121,1,15,40,31,1,1,8,0,0,0,0,0,1,0,16,0,21,0,0,0,0,146,36,19,8,46,2,0,0,-2,0,0,0,0,10,0,72,0,0,0,0,146,True,Bengals,Sunday,41,40,427136,0,0,7,24,2016-09-11T00:00:00,2016-09-11T13:00:00,15978,7,24,15978
201610126,2016-09-11T13:00:00,1,2016,1,CLE,PHI,AWAY,10,29,39,Lincoln Financial Field,Grass,94,46,15,45.1,4.8,0,7,3,0,0,22,44,20:40,15,7,8,1,55,317,7.0,1,23,132,6.9,1,29,13,185,0,1,7.9,15.4,50.8,56.6,11,2,22.0,2,0,0.0,2,1,1,1,-16,5,16,2,0,4,24,11,4,0,6,276,55.2,1,0,-1,7,6,9,7,0,43,22,39:20,25,8,15,2,80,443,6.7,4,37,146,4.7,1,41,24,297,2,0,8.8,13.5,65.4,110.1,16,6,36.6,1,1,110.0,5,2,2,1,64,8,51,2,0,2,10,6,6,1,7,324,54.1,0,1,1,55.0,110.0,5,-2,-1,10.6,25.4,10.3,55.0,55.0,-4,2,1,26.2,18.9,6.2,5,4,2,0,42.2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,7,7,0,43.1,4,4,0,0,0,0,0,4,2,0,5,65,2,46,1,6,54,7,2,10,5,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,211,32,5,4,24,2,1,0,-7,0,0,0,0,44,0,25,0,0,0,0,258,True,Browns,Sunday,32,43,427130,0,0,8,26,2016-09-11T00:00:00,2016-09-11T13:00:00,15975,8,26,15975
201610109,2016-09-11T16:25:00,1,2016,1,DAL,NYG,HOME,19,20,39,AT&T Stadium,Dome,77,55,0,52.2,1.2,3,6,7,3,0,40,47,36:43,26,11,14,1,82,361,5.3,1,33,111,4.1,1,50,28,250,0,0,6.0,10.0,61.2,76.3,19,11,64.7,0,0,0.0,4,1,2,1,18,7,55,0,0,0,0,2,5,0,4,162,53.9,0,1,1,0,13,0,7,0,25,19,23:17,20,7,12,1,59,348,7.1,4,26,124,5.7,0,31,21,223,4,1,8.7,11.8,74.7,120.6,11,6,55.0,0,0,0.0,4,4,1,1,23,5,44,1,0,2,5,4,2,0,6,283,56.5,1,0,-1,36.6,55.0,-1,2,2,18.4,8.1,0,110.0,110.0,1,-2,-2,8.1,8.1,8.1,7,7,5,0,47.6,1,1,0,0,0,0,0,5,5,0,2,18,1,23,1,0,5,4,4,0,39.8,4,2,0,0,0,0,0,0,0,0,1,19,2,51,0,0,33,29,2,5,2,1,0,0,0,0,0,0,11,0,23,0,0,0,0,143,47,28,0,0,4,0,0,5,0,0,0,0,19,0,32,0,0,0,0,199,True,Cowboys,Sunday,50,33,427147,0,0,9,23,2016-09-11T00:00:00,2016-09-11T16:25:00,15983,9,23,15983
201610110,2016-09-08T20:30:00,1,2016,1,DEN,CAR,HOME,21,20,41,Sports Authority Field at Mile High,Grass,94,13,11,44.6,3.6,0,7,0,14,0,30,45,27:41,23,11,12,1,63,338,6.5,4,32,163,6.2,2,29,20,175,1,2,7.4,10.6,76.1,72.6,11,6,55.0,1,1,110.0,2,1,1,1,29,5,24,1,1,2,21,10,2,0,4,154,51.4,4,1,-2,7,10,0,3,0,35,21,32:19,23,10,13,1,75,366,5.9,2,35,173,5.9,1,36,20,194,1,1,6.4,10.8,60.0,74.0,16,11,66.0,0,0,0.0,4,2,1,1,19,10,94,0,0,4,20,4,6,0,5,277,69.3,1,4,2,55.0,110.0,6,-3,1,7.5,24.4,7.1,73.4,110.0,-6,4,-1,18.9,11.8,10.0,5,4,4,0,47.0,4,4,0,0,0,0,0,0,0,0,2,29,5,0,1,0,6,6,6,0,51.2,2,2,0,0,0,0,0,4,2,0,2,13,1,11,2,6,50,5,4,20,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,141,45,2,2,21,7,1,1,0,0,0,0,0,10,0,11,0,0,0,0,205,True,Broncos,Thursday,31,40,427115,0,0,10,5,2016-09-08T00:00:00,2016-09-08T20:30:00,15971,10,5,15971
